Instancia;Tempo Medio;Melhor Solucao;Solucao Media;#1T;#1S;#2T;#2S;#3T;#3S;#4T;#4S;#5T;#5S;#6T;#6S;#7T;#7S;#8T;#8S;#9T;#9S;#10T;#10S;#11T;#11S;#12T;#12S;#13T;#13S;#14T;#14S;#15T;#15S;#16T;#16S;#17T;#17S;#18T;#18S;#19T;#19S;#20T;#20S;
MDG-a_10_n500_m50;76792.6;21939.78999999997;21854.008499999953;77209.0;21939.78999999997;73606.0;21684.92999999991;76959.0;21939.78999999997;73939.0;21921.67999999999;86190.0;21684.92999999991;75972.0;21939.78999999997;79467.0;21714.969999999892;77357.0;21939.78999999997;75223.0;21939.78999999997;77733.0;21939.78999999997;74624.0;21939.78999999997;75804.0;21939.78999999997;77088.0;21921.67999999999;78301.0;21669.379999999914;76951.0;21939.78999999997;73908.0;21714.969999999892;74506.0;21714.969999999892;79452.0;21939.78999999997;74731.0;21939.78999999997;76832.0;21714.969999999892;
MDG-a_4_n500_m50;72770.5;20071.37000000005;19994.439000000017;71347.0;19595.07000000003;71089.0;20071.37000000005;72617.0;20071.37000000005;74043.0;19953.139999999963;69743.0;19953.139999999963;74249.0;19953.139999999963;71782.0;20071.37000000005;73755.0;19953.139999999963;71428.0;20071.37000000005;74815.0;20071.37000000005;72389.0;20071.37000000005;71840.0;20071.37000000005;71284.0;20071.37000000005;73861.0;20071.37000000005;72266.0;19953.139999999963;71435.0;20071.37000000005;80568.0;19953.139999999963;73523.0;20071.37000000005;71681.0;19718.429999999964;71695.0;20071.37000000005;
MDG-a_7_n500_m50;81895.35;21318.439999999948;20947.35699999998;83948.0;21318.439999999948;80830.0;20531.150000000023;78619.0;20910.060000000074;84035.0;21318.439999999948;83349.0;20625.87999999995;80897.0;20910.060000000074;81739.0;21318.439999999948;81001.0;20910.060000000074;81042.0;20625.87999999995;82970.0;21318.439999999948;79763.0;21318.439999999948;83008.0;20303.720000000027;82164.0;21318.439999999948;83514.0;21318.439999999948;81315.0;21318.439999999948;82910.0;19905.280000000006;80855.0;20625.87999999995;83461.0;21318.439999999948;82116.0;21318.439999999948;80371.0;20414.77000000001;
MDG-a_1_n500_m50;68160.0;20414.639999999996;20229.082000000002;66928.0;20069.820000000007;67244.0;19837.72;68142.0;20414.639999999996;76015.0;20414.639999999996;68829.0;19837.72;67990.0;20414.639999999996;66410.0;20414.639999999996;66460.0;20414.639999999996;69972.0;20414.639999999996;66330.0;19769.25999999998;67428.0;20414.639999999996;68364.0;19769.25999999998;68912.0;19837.72;68795.0;20414.639999999996;66407.0;20414.639999999996;68344.0;20414.639999999996;65557.0;20414.639999999996;69367.0;20414.639999999996;68000.0;20069.820000000007;67706.0;20414.639999999996;
MDG-a_9_n500_m50;67485.35;18938.21999999999;18820.875999999993;65819.0;18938.21999999999;66810.0;18536.019999999997;68665.0;18568.500000000007;71011.0;18843.1;68908.0;18568.500000000007;67306.0;18303.69999999999;64707.0;18843.1;67494.0;18938.21999999999;67682.0;18938.21999999999;68128.0;18843.1;67381.0;18938.21999999999;66026.0;18843.1;66303.0;18843.1;68584.0;18938.21999999999;66959.0;18938.21999999999;66594.0;18938.21999999999;65379.0;18938.21999999999;68953.0;18938.21999999999;66902.0;18843.1;70096.0;18938.21999999999;
MDG-a_5_n500_m50;77441.95;19635.72999999998;19462.307499999984;79389.0;19451.14999999991;76520.0;19451.14999999991;76619.0;19455.700000000044;79537.0;19455.700000000044;78059.0;19451.14999999991;76407.0;19635.72999999998;79115.0;19635.72999999998;76582.0;18939.179999999997;78300.0;19635.72999999998;77021.0;19635.72999999998;76625.0;19635.72999999998;77183.0;19635.72999999998;76507.0;19229.96000000002;77651.0;19455.700000000044;77561.0;19451.14999999991;75963.0;19451.14999999991;75297.0;19423.830000000027;79650.0;19635.72999999998;77420.0;19455.700000000044;77433.0;19124.520000000022;
MDG-a_3_n500_m50;66052.65;19699.80000000004;19328.60800000003;64316.0;19699.80000000004;70946.0;18751.32000000003;66940.0;19699.80000000004;64944.0;19699.80000000004;67819.0;18817.81;64355.0;19699.80000000004;63845.0;18674.16000000002;64698.0;19699.80000000004;66439.0;19699.80000000004;67667.0;19699.80000000004;63450.0;19699.80000000004;66074.0;19699.80000000004;66580.0;19004.979999999978;66692.0;19699.80000000004;64837.0;18751.32000000003;64909.0;18672.330000000034;67974.0;18751.32000000003;65459.0;19699.80000000004;67093.0;19699.80000000004;66016.0;18751.32000000003;
MDG-a_2_n500_m50;77308.75;23775.59999999999;23060.31099999998;75692.0;22749.58000000002;77134.0;22749.58000000002;75672.0;23775.59999999999;76919.0;23775.59999999999;78835.0;22517.709999999937;77427.0;22207.099999999988;77827.0;22749.58000000002;76068.0;23775.59999999999;79097.0;22749.58000000002;78674.0;22196.35999999991;77032.0;22153.28999999996;76619.0;22749.58000000002;75593.0;23775.59999999999;77759.0;22207.099999999988;78726.0;23775.59999999999;75793.0;23775.59999999999;76289.0;22196.35999999991;80574.0;23775.59999999999;76376.0;23775.59999999999;78069.0;23775.59999999999;
MDG-a_6_n500_m50;81186.9;23697.89000000006;23288.008000000038;82497.0;22845.759999999973;80261.0;22676.56000000006;79574.0;23697.89000000006;91264.0;22845.759999999973;82351.0;22845.759999999973;81356.0;23697.89000000006;80460.0;23697.89000000006;80582.0;23697.89000000006;80819.0;23697.89000000006;79962.0;22803.659999999985;80161.0;22731.23000000001;80142.0;23697.89000000006;81273.0;22845.759999999973;80409.0;23697.89000000006;79979.0;22643.120000000123;80002.0;23697.89000000006;78695.0;23697.89000000006;82111.0;23697.89000000006;80502.0;23697.89000000006;81338.0;22845.759999999973;
MDG-a_8_n500_m50;84437.75;20419.859999999975;20197.702999999954;85837.0;19918.889999999905;84462.0;20419.859999999975;85004.0;20419.859999999975;82883.0;20195.489999999947;85070.0;20105.14999999994;83200.0;20419.859999999975;85567.0;20105.14999999994;84062.0;20195.489999999947;84329.0;20419.859999999975;83919.0;20195.489999999947;83281.0;20195.489999999947;84135.0;20195.489999999947;85574.0;19834.589999999956;84184.0;19998.769999999968;82872.0;20195.489999999947;84407.0;19998.769999999968;84753.0;20195.489999999947;86503.0;20105.14999999994;83732.0;20419.859999999975;84981.0;20419.859999999975;
